iter	Passed	Remaining
655	1374	720
656	1377	718
657	1379	716
658	1381	714
659	1383	712
660	1385	710
661	1387	708
662	1389	706
663	1391	703
664	1393	701
665	1395	699
666	1397	697
667	1399	695
668	1401	693
669	1403	691
670	1405	688
671	1407	686
672	1409	684
673	1411	682
674	1413	680
675	1415	678
676	1417	676
677	1419	674
678	1421	671
679	1423	669
680	1425	667
681	1428	665
682	1430	663
683	1432	661
684	1434	659
685	1436	657
686	1438	655
687	1440	653
688	1442	651
689	1444	649
690	1446	646
691	1448	644
692	1450	642
693	1452	640
694	1454	638
695	1456	636
696	1458	634
697	1460	632
698	1462	629
699	1464	627
700	1466	625
701	1468	623
702	1470	621
703	1472	619
704	1474	617
705	1476	614
706	1478	612
707	1480	610
708	1482	608
709	1484	606
710	1486	604
711	1488	602
712	1490	600
713	1492	597
714	1494	595
715	1496	593
716	1498	591
717	1500	589
718	1502	587
719	1504	585
720	1506	582
721	1508	580
722	1510	578
723	1512	576
724	1514	574
725	1516	572
726	1518	570
727	1520	568
728	1522	565
729	1524	563
730	1526	561
731	1528	559
732	1530	557
733	1532	555
734	1534	553
735	1536	550
736	1537	548
737	1539	546
738	1542	544
739	1544	542
740	1546	540
741	1548	538
742	1550	536
743	1552	534
744	1554	532
745	1556	529
746	1558	527
747	1560	525
748	1562	523
749	1564	521
750	1566	519
751	1568	517
752	1570	515
753	1572	513
754	1574	510
755	1576	508
756	1579	506
757	1581	504
758	1583	502
759	1585	500
760	1587	498
761	1589	496
762	1590	494
763	1592	492
764	1594	489
765	1596	487
766	1598	485
767	1600	483
768	1602	481
769	1604	479
770	1606	477
771	1608	475
772	1610	472
773	1612	470
774	1614	468
775	1616	466
776	1618	464
777	1620	462
778	1622	460
779	1624	458
780	1626	456
781	1628	453
782	1630	451
783	1632	449
784	1635	447
785	1637	445
786	1639	443
787	1641	441
788	1643	439
789	1645	437
790	1647	435
791	1649	433
792	1651	431
793	1653	429
794	1655	426
795	1657	424
796	1659	422
797	1661	420
798	1663	418
799	1665	416
800	1667	414
801	1669	412
802	1671	410
803	1673	407
804	1674	405
805	1676	403
806	1678	401
807	1680	399
808	1682	397
809	1684	395
810	1686	393
811	1688	391
812	1691	388
813	1693	386
814	1695	384
815	1697	382
816	1699	380
817	1701	378
818	1703	376
819	1705	374
820	1707	372
821	1709	370
822	1711	368
823	1713	365
824	1715	363
825	1717	361
826	1719	359
827	1721	357
828	1723	355
829	1725	353
830	1727	351
831	1729	349
832	1731	347
833	1733	345
834	1735	342
835	1737	340
836	1739	338
837	1741	336
838	1743	334
839	1745	332
840	1747	330
841	1749	328
842	1751	326
843	1753	324
844	1755	322
845	1757	319
846	1759	317
847	1761	315
848	1763	313
849	1765	311
850	1767	309
851	1769	307
852	1771	305
853	1773	303
854	1775	301
855	1777	299
856	1779	296
857	1781	294
858	1784	292
859	1785	290
860	1788	288
861	1790	286
862	1792	284
863	1794	282
864	1796	280
865	1798	278
866	1800	276
867	1802	274
868	1804	271
869	1806	269
870	1808	267
871	1810	265
872	1812	263
873	1814	261
874	1816	259
875	1818	257
876	1820	255
877	1822	253
878	1825	251
879	1827	249
880	1829	247
881	1831	245
882	1834	243
883	1836	240
884	1838	238
885	1841	236
886	1843	234
887	1845	232
888	1847	230
889	1850	228
890	1852	226
891	1854	224
892	1856	222
893	1859	220
894	1861	218
895	1863	216
896	1865	214
897	1868	212
898	1870	210
899	1872	208
900	1875	206
901	1877	203
902	1878	201
903	1881	199
904	1883	197
905	1885	195
906	1887	193
907	1889	191
908	1892	189
909	1894	187
910	1896	185
911	1898	183
912	1901	181
913	1903	179
914	1905	177
915	1907	174
916	1909	172
917	1911	170
918	1914	168
919	1916	166
920	1918	164
921	1920	162
922	1923	160
923	1925	158
924	1927	156
925	1929	154
926	1932	152
927	1934	150
928	1936	148
929	1938	145
930	1941	143
931	1943	141
932	1945	139
933	1947	137
934	1949	135
935	1952	133
936	1954	131
937	1956	129
938	1958	127
939	1960	125
940	1962	123
941	1964	120
942	1966	118
943	1968	116
944	1970	114
945	1973	112
946	1975	110
947	1977	108
948	1980	106
949	1982	104
950	1984	102
951	1986	100
952	1989	98
953	1991	96
954	1993	93
955	1995	91
956	1997	89
957	1999	87
958	2001	85
959	2004	83
960	2006	81
961	2008	79
962	2010	77
963	2012	75
964	2015	73
965	2017	71
966	2019	68
967	2021	66
968	2023	64
969	2025	62
970	2027	60
971	2030	58
972	2032	56
973	2034	54
974	2036	52
975	2038	50
976	2041	48
977	2043	45
978	2046	43
979	2048	41
980	2050	39
981	2053	37
982	2055	35
983	2057	33
984	2059	31
985	2062	29
986	2064	27
987	2066	25
988	2068	23
989	2071	20
990	2073	18
991	2076	16
992	2078	14
993	2080	12
994	2082	10
995	2084	8
996	2086	6
997	2089	4
998	2091	2
999	2093	0
