iter	Logloss
0	0.6833461895
1	0.6737942952
2	0.6642992486
3	0.655112389
4	0.6461351119
5	0.6374869317
6	0.628980511
7	0.62075838
8	0.6126593319
9	0.6046753295
10	0.597263801
11	0.589361838
12	0.582139551
13	0.5749401709
14	0.5679339928
15	0.5606838402
16	0.5539596906
17	0.5475212318
18	0.5407518994
19	0.5344031115
20	0.5282343858
21	0.5222830244
22	0.5161744996
23	0.5104415927
24	0.5045222493
25	0.4987973533
26	0.4934433078
27	0.4880489591
28	0.482912632
29	0.4775386092
30	0.4727814919
31	0.4674824816
32	0.462381763
33	0.4574985743
34	0.4529625251
35	0.448604147
36	0.4443682892
37	0.4398998848
38	0.4356175105
39	0.4314032835
40	0.4275018604
41	0.4234188486
42	0.4195509037
43	0.4159251968
44	0.4120862191
45	0.408594857
46	0.4051722462
47	0.4016311112
48	0.3980300196
49	0.3948484796
50	0.3916531725
51	0.3879028817
52	0.3847869339
53	0.3817798216
54	0.3786356509
55	0.3757373693
56	0.3729211835
57	0.3701226052
58	0.3675156329
59	0.3647057292
60	0.362103481
61	0.3595632679
62	0.3569826836
63	0.3546232642
64	0.3519373169
65	0.349684766
66	0.347187772
67	0.3448817342
68	0.3426187068
69	0.3402392085
70	0.3382386267
71	0.3362205687
72	0.3339766044
73	0.3321087672
74	0.3301292608
75	0.3279516497
76	0.3255079273
77	0.3235881514
78	0.3218485864
79	0.3201738805
80	0.3183815586
81	0.3167531122
82	0.3151523616
83	0.3136270721
84	0.3120102083
85	0.3105853631
86	0.3091596216
87	0.3077100538
88	0.3063588756
89	0.3050137316
90	0.3036817492
91	0.3023174279
92	0.3007845157
93	0.2994398978
94	0.298180678
95	0.2970424638
96	0.2955811875
97	0.2943751264
98	0.2931139754
99	0.2919280898
100	0.2908213064
101	0.2898071921
102	0.2884807355
103	0.287232039
104	0.2856624024
105	0.2845900721
106	0.2834948647
107	0.2822926851
108	0.2813214453
109	0.2802326361
110	0.2792647435
111	0.2783025697
112	0.2769030264
113	0.275672262
114	0.2747724548
115	0.2739899005
116	0.2730579405
117	0.2723355787
118	0.2715273851
119	0.2706775783
120	0.2699016429
121	0.2690847066
122	0.2682417561
123	0.2675601435
124	0.2666751311
125	0.2657755731
126	0.2646908444
127	0.2636324266
128	0.2629714161
129	0.2624454731
130	0.2617590413
131	0.2609974649
132	0.2604516262
133	0.2598743583
134	0.2590454212
135	0.2580912597
136	0.2574291205
137	0.2569518432
138	0.2563489846
139	0.2558823545
140	0.2551708081
141	0.2545497621
142	0.2539476291
143	0.2534254626
144	0.2529490685
145	0.2523494426
146	0.2516986486
147	0.2511821699
148	0.2506423216
149	0.2500463265
150	0.2496497014
151	0.2492539492
152	0.2484977746
153	0.2480988543
154	0.2476612258
155	0.2469018795
156	0.2465116185
157	0.2460517591
158	0.2456492748
159	0.2452115208
160	0.2447241939
161	0.2440584532
162	0.2435837817
163	0.2430853173
164	0.2425927454
165	0.2421153477
166	0.241668468
167	0.2411771352
168	0.2408797405
169	0.2404832666
